bin,mean,std,count,sem,ci_lower,ci_upper
8190.0,208.0,148.49242404917499,2,105.0,2.200000000000017,413.79999999999995
8200.0,130.5,94.04520189781083,2,66.5,0.1599999999999966,260.84000000000003
8210.0,81.0,42.42640687119285,2,30.0,22.200000000000003,139.8
8220.0,60.0,26.870057685088806,2,19.0,22.759999999999998,97.24000000000001
8230.0,32.0,1.4142135623730951,2,1.0,30.04,33.96
8240.0,40.0,8.48528137423857,2,6.0,28.240000000000002,51.76
8250.0,64.5,33.23401871576773,2,23.5,18.439999999999998,110.56
8260.0,56.0,15.556349186104045,2,11.0,34.44,77.56
8270.0,55.0,33.94112549695428,2,24.0,7.960000000000001,102.03999999999999
8280.0,61.5,40.30508652763321,2,28.5,5.640000000000001,117.36
8290.0,89.5,62.932503525602726,2,44.5,2.280000000000001,176.72
8300.0,75.0,19.79898987322333,2,14.0,47.56,102.44
8310.0,74.5,33.23401871576773,2,23.5,28.439999999999998,120.56
8320.0,85.0,41.012193308819754,2,29.0,28.160000000000004,141.84
8330.0,56.0,41.012193308819754,2,29.0,0.0,112.84
8340.0,92.0,45.254833995939045,2,32.0,29.28,154.72
8350.0,69.0,12.727922061357855,2,9.0,51.36,86.64
8360.0,34.5,12.020815280171307,2,8.5,17.84,51.16
8370.0,65.5,27.577164466275352,2,19.5,27.28,103.72
8380.0,43.0,18.384776310850235,2,13.0,17.52,68.48
8390.0,19.5,9.192388155425117,2,6.5,6.76,32.24
8400.0,56.5,27.577164466275352,2,19.5,18.28,94.72
8410.0,50.5,23.33452377915607,2,16.5,18.160000000000004,82.84
8420.0,44.0,8.48528137423857,2,6.0,32.24,55.76
8430.0,31.0,5.656854249492381,2,4.0,23.16,38.84
8440.0,30.0,12.727922061357855,2,9.0,12.36,47.64
8450.0,39.5,19.091883092036785,2,13.5,13.04,65.96000000000001
8460.0,47.5,36.062445840513924,2,25.5,0.0,97.47999999999999
8470.0,83.0,57.982756057296896,2,41.0,2.6400000000000006,163.36
8480.0,46.0,24.041630560342615,2,17.0,12.68,79.32
8490.0,50.0,16.97056274847714,2,12.0,26.48,73.52
8500.0,71.5,36.062445840513924,2,25.5,21.520000000000003,121.47999999999999
8510.0,61.0,31.11269837220809,2,22.0,17.880000000000003,104.12
8520.0,40.5,10.606601717798213,2,7.5,25.8,55.2
8530.0,55.0,18.384776310850235,2,13.0,29.52,80.48
8540.0,59.5,7.7781745930520225,2,5.5,48.72,70.28
8550.0,60.5,28.991378028648448,2,20.5,20.32,100.68
8560.0,92.0,53.74011537017761,2,38.0,17.519999999999996,166.48000000000002
8570.0,52.0,26.870057685088806,2,19.0,14.759999999999998,89.24000000000001
8580.0,39.5,19.091883092036785,2,13.5,13.04,65.96000000000001
8590.0,37.5,19.091883092036785,2,13.5,11.04,63.96
8600.0,51.0,21.213203435596427,2,15.0,21.6,80.4
8610.0,48.0,31.11269837220809,2,22.0,4.880000000000003,91.12
8620.0,71.0,43.840620433565945,2,31.0,10.240000000000002,131.76
8630.0,34.5,14.849242404917497,2,10.5,13.920000000000002,55.08
8640.0,44.0,18.384776310850235,2,13.0,18.52,69.48
8650.0,54.5,40.30508652763321,2,28.5,0.0,110.36
8660.0,77.5,61.518289963229634,2,43.5,0.0,162.76
8670.0,65.5,20.506096654409877,2,14.5,37.08,93.92
8680.0,52.5,47.37615433949868,2,33.5,0.0,118.16
8690.0,63.0,55.154328932550705,2,39.0,0.0,139.44
8700.0,60.0,35.35533905932738,2,25.0,11.0,109.0
8710.0,54.0,36.76955262170047,2,26.0,3.039999999999999,104.96000000000001
8720.0,47.0,38.18376618407357,2,27.0,0.0,99.92
8730.0,57.0,35.35533905932738,2,25.0,8.0,106.0
8740.0,56.5,43.1335136523794,2,30.5,0.0,116.28
8750.0,75.0,33.94112549695428,2,24.0,27.96,122.03999999999999
8760.0,54.0,28.284271247461902,2,20.0,14.799999999999997,93.2
8770.0,48.0,25.45584412271571,2,18.0,12.719999999999999,83.28
8780.0,27.5,17.67766952966369,2,12.5,3.0,52.0
8790.0,29.5,14.849242404917497,2,10.5,8.920000000000002,50.08
8800.0,18.5,9.192388155425117,2,6.5,5.76,31.240000000000002
8810.0,35.5,14.849242404917497,2,10.5,14.920000000000002,56.08
8820.0,27.5,12.020815280171307,2,8.5,10.84,44.16
8830.0,49.5,23.33452377915607,2,16.5,17.160000000000004,81.84
8840.0,34.5,19.091883092036785,2,13.5,8.04,60.96
8850.0,71.0,50.91168824543142,2,36.0,0.4399999999999977,141.56
8860.0,44.0,28.284271247461902,2,20.0,4.799999999999997,83.2
8870.0,59.0,16.97056274847714,2,12.0,35.480000000000004,82.52
8880.0,39.0,22.627416997969522,2,16.0,7.640000000000001,70.36
8890.0,37.5,27.577164466275352,2,19.5,0.0,75.72
8900.0,63.0,24.041630560342615,2,17.0,29.68,96.32
8910.0,44.5,26.16295090390226,2,18.5,8.240000000000002,80.75999999999999
8920.0,32.5,16.263455967290593,2,11.5,9.96,55.04
8930.0,37.5,10.606601717798213,2,7.5,22.8,52.2
8940.0,30.0,12.727922061357855,2,9.0,12.36,47.64
8950.0,58.5,34.64823227814083,2,24.5,10.480000000000004,106.52
